article;name;orders_30d;revenue_30d;orders_all;cost_rub;warehouse_expenses;entity
шлепанцы 04 черные;;595;1757939;775;;;
шлепанцы 04 белые;;146;385823;290;;;
Ортез чёрный;;128;245140;570;;;
Бандаж чёрный;;94;162389;269;;;
Наколенник чёрный;;61;100153;254;;;
сумка 03 черная;;33;74051;125;;;
Ортез красный;;38;70535;171;;;
Бандаж красный;;32;54475;92;;;
Наколенник красный;;34;54225;138;;;
BMFoundationJOMTAM01;;133;49389;406;;;
сумка 02 черная;;20;47689;117;;;
сумка 02 коричневая;;20;47603;20;;;
BMFoundationSADOERbase01;;110;46805;278;;;
сумка 05 черная;;26;45426;68;;;
доска 01;;17;41461;99;;;
BMConcealerSADOERbase01;;81;37529;239;;;
сумка 06 черная;;22;37398;87;;;
BMConcealerJomtam01;;90;35887;333;;;
сумка 04 черная;;11;16556;41;;;
сумка 01 черная;;8;11852;18;;;
сумка 07 черная;;3;4056;7;;;
BMFoundationLAMEILA02;;22;3038;56;;;
доска 02;;1;2618;99;;;
сумка 02 коричневая замша;;1;2183;1;;;
сумка 02 черная замша;;1;2154;1;;;
BMConcealerLameila02;;5;661;65;;;
шлепанцы 14 черные;;1;557;11;;;
BMFoundationSADOERbase02;;1;200;60;;;
Крем для лица 08;;1;132;50;;;
BMConcealerLameila01;;0;0;68;;;
шлепанцы 07 черные;;0;0;15;;;
шлепанцы 05 черные;;0;0;51;;;
шлепанцы 05 белые;;0;0;31;;;
шлепанцы 11 черные;;0;0;2;;;
Крем для лица 09;;0;0;60;;;
шлепанцы 13 черные;;0;0;5;;;
BMConcealerSADOERbase02;;0;0;17;;;
шлепанцы 12 черные;;0;0;2;;;
шлепанцы 09 черные;;0;0;1;;;
Крем для лица 10;;0;0;48;;;
Крем для лица 06;;0;0;48;;;
шлепанцы 10 черные;;0;0;2;;;
Крем для лица 05;;0;0;27;;;
Крем для лица 04;;0;0;3;;;
сабо 01 белые;;0;0;1;;;
шлепанцы 08 черные;;0;0;0;;;
